                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94077,                 4.2452,                 1.4031,                0.46327,                0.19092,                0.12201,                0.08848,                 0.9093,                 3.1913,                 1.4624,             5.1244e-05,             5.1244e-05,             5.1244e-05
                      2,                 0.9653,                  3.144,                 1.4137,                0.47288,                 0.2697,                0.22088,                0.16247,                0.89931,                 2.5427,                 1.4293,             9.9192e-05,             9.9192e-05,             9.9192e-05
                      3,                0.94386,                 2.6539,                 1.3825,                0.44625,                0.33788,                0.28537,                 0.2088,                0.94358,                 2.3281,                 1.4612,             0.00014375,             0.00014375,             0.00014375
                      4,                0.93045,                 2.3311,                  1.358,                0.48716,                0.37626,                0.34765,                0.25951,                0.90475,                 2.0575,                 1.4174,             0.00013875,             0.00013875,             0.00013875
                      5,                0.92537,                 2.1289,                 1.3496,                0.47354,                0.40843,                0.37444,                0.28061,                0.88493,                   1.99,                 1.4015,             0.00013875,             0.00013875,             0.00013875
                      6,                0.90528,                 1.9929,                 1.3336,                0.53331,                0.42506,                0.41855,                0.31494,                0.87762,                 1.9012,                 1.3853,             0.00013367,             0.00013367,             0.00013367
                      7,                0.90124,                 1.8603,                 1.3231,                0.50304,                0.48052,                0.44472,                0.33889,                0.85437,                 1.7867,                 1.3829,             0.00012859,             0.00012859,             0.00012859
                      8,                0.89074,                 1.7856,                 1.3157,                0.55602,                0.46218,                0.47083,                0.36006,                0.86079,                 1.7954,                 1.3905,             0.00012351,             0.00012351,             0.00012351
                      9,                 0.8856,                 1.7142,                 1.3116,                0.56058,                0.48074,                0.48283,                0.37359,                0.84648,                 1.6718,                 1.3667,             0.00011843,             0.00011843,             0.00011843
                     10,                0.87437,                 1.6523,                 1.3001,                0.52556,                0.47283,                0.48302,                  0.379,                0.83062,                 1.7101,                 1.3531,             0.00011334,             0.00011334,             0.00011334
                     11,                0.87276,                 1.5826,                 1.2951,                0.56132,                0.50802,                0.51998,                0.40683,                0.81724,                 1.5963,                 1.3336,             0.00010826,             0.00010826,             0.00010826
                     12,                0.86061,                 1.5356,                 1.2895,                0.54752,                0.53137,                0.52358,                0.40632,                0.84301,                 1.6197,                 1.3433,             0.00010318,             0.00010318,             0.00010318
                     13,                0.86619,                 1.5011,                   1.29,                0.56428,                 0.5307,                0.53205,                0.42091,                0.81213,                 1.5511,                 1.3118,             9.8098e-05,             9.8098e-05,             9.8098e-05
                     14,                0.85264,                 1.4744,                 1.2824,                0.56728,                0.56509,                0.55482,                0.43656,                0.80899,                 1.4993,                 1.3242,             9.3016e-05,             9.3016e-05,             9.3016e-05
                     15,                0.84634,                 1.4304,                 1.2743,                0.60313,                0.53913,                0.55304,                0.43823,                0.78914,                 1.4856,                 1.2992,             8.7934e-05,             8.7934e-05,             8.7934e-05
                     16,                0.83502,                 1.3875,                 1.2694,                0.58147,                0.57409,                0.57213,                0.45523,                0.78351,                 1.4491,                 1.3035,             8.2852e-05,             8.2852e-05,             8.2852e-05
                     17,                0.83139,                 1.3745,                 1.2703,                0.59676,                0.57484,                0.57928,                0.45962,                0.78165,                 1.4743,                 1.2932,              7.777e-05,              7.777e-05,              7.777e-05
                     18,                0.82683,                 1.3472,                 1.2657,                0.57586,                0.57781,                0.57501,                 0.4587,                 0.7932,                 1.4459,                 1.3004,             7.2688e-05,             7.2688e-05,             7.2688e-05
                     19,                0.82321,                 1.3215,                 1.2605,                0.61225,                0.57979,                0.59164,                0.47376,                0.77757,                 1.4497,                 1.2813,             6.7606e-05,             6.7606e-05,             6.7606e-05
                     20,                0.81929,                 1.2854,                 1.2592,                0.61747,                0.59208,                0.59573,                0.47694,                 0.7756,                 1.4356,                 1.2799,             6.2524e-05,             6.2524e-05,             6.2524e-05
                     21,                0.71632,                0.97682,                 1.2289,                0.62107,                0.58178,                0.60532,                 0.4924,                0.73592,                 1.3664,                 1.2525,             5.7442e-05,             5.7442e-05,             5.7442e-05
                     22,                0.69576,                0.91096,                 1.2084,                0.63503,                0.61053,                0.61982,                0.50628,                0.72459,                 1.3508,                 1.2389,              5.236e-05,              5.236e-05,              5.236e-05
                     23,                0.68865,                0.87322,                 1.2032,                0.65144,                0.59754,                0.61779,                0.50815,                0.71805,                 1.3131,                 1.2298,             4.7278e-05,             4.7278e-05,             4.7278e-05
                     24,                0.67569,                0.83968,                 1.1918,                0.62717,                0.60145,                0.62315,                0.51318,                0.71434,                  1.302,                 1.2336,             4.2196e-05,             4.2196e-05,             4.2196e-05
                     25,                0.67394,                0.81202,                 1.1913,                0.64346,                0.60187,                0.62767,                0.51912,                0.70705,                 1.2903,                 1.2265,             3.7114e-05,             3.7114e-05,             3.7114e-05
                     26,                 0.6631,                0.77774,                 1.1784,                 0.6233,                0.61995,                0.62967,                0.52154,                0.70846,                  1.319,                 1.2265,             3.2032e-05,             3.2032e-05,             3.2032e-05
                     27,                0.65759,                0.75509,                 1.1726,                0.64432,                0.60064,                0.63101,                0.52296,                0.71091,                 1.2954,                  1.234,              2.695e-05,              2.695e-05,              2.695e-05
