                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.73005,                0.86198,                 1.2324,                0.67935,                0.60275,                0.65169,                0.53391,                0.73223,                 1.1779,                  1.252,               0.003268,               0.003268,               0.003268
                     37,                0.71986,                 0.8256,                 1.2269,                0.67628,                0.59703,                0.65138,                  0.534,                0.73195,                 1.1995,                 1.2514,                0.00307,                0.00307,                0.00307
                     38,                0.71061,                 0.8107,                 1.2189,                0.65937,                0.59895,                0.65236,                0.53783,                0.72182,                 1.1857,                 1.2402,               0.002872,               0.002872,               0.002872
                     39,                 0.7054,                0.78081,                  1.209,                0.64695,                0.62554,                0.65516,                0.54187,                0.72106,                 1.1707,                 1.2418,               0.002674,               0.002674,               0.002674
                     40,                0.69332,                0.76013,                 1.2062,                0.68784,                0.60798,                 0.6597,                0.54523,                0.71676,                 1.1574,                 1.2383,               0.002476,               0.002476,               0.002476
                     41,                0.68805,                0.74177,                  1.199,                0.68434,                0.60629,                0.65858,                0.54648,                0.71375,                 1.1638,                 1.2347,               0.002278,               0.002278,               0.002278
                     42,                0.68336,                0.70951,                 1.1936,                0.66188,                0.63321,                0.66136,                0.54636,                 0.7142,                 1.1558,                 1.2345,                0.00208,                0.00208,                0.00208
                     43,                0.67095,                0.69655,                 1.1847,                0.67465,                0.61192,                0.66107,                0.54658,                0.71596,                 1.1529,                 1.2371,               0.001882,               0.001882,               0.001882
                     44,                0.66876,                 0.6746,                 1.1835,                0.68407,                0.60716,                0.66443,                0.54911,                0.71594,                 1.1538,                 1.2364,               0.001684,               0.001684,               0.001684
                     45,                0.65808,                0.64486,                 1.1697,                0.67836,                0.61968,                 0.6628,                0.54955,                0.71554,                 1.1527,                 1.2367,               0.001486,               0.001486,               0.001486
                     46,                0.65539,                0.63599,                 1.1672,                0.67499,                0.61648,                0.66473,                0.55103,                0.71438,                 1.1504,                 1.2353,               0.001288,               0.001288,               0.001288
                     47,                0.64526,                0.61751,                 1.1638,                0.64271,                0.63161,                0.66467,                0.55219,                0.71428,                 1.1484,                 1.2336,                0.00109,                0.00109,                0.00109
                     48,                0.63595,                0.59843,                 1.1551,                  0.641,                0.63398,                0.66425,                0.55306,                 0.7127,                 1.1495,                 1.2323,               0.000892,               0.000892,               0.000892
                     49,                0.63107,                0.58186,                 1.1493,                0.64721,                0.62901,                0.66541,                 0.5543,                0.71247,                 1.1519,                 1.2325,               0.000694,               0.000694,               0.000694
                     50,                0.62349,                0.56852,                 1.1453,                0.66137,                0.62011,                0.66652,                0.55382,                  0.713,                 1.1522,                  1.234,               0.000496,               0.000496,               0.000496
